NCT_ID,Reported_Nominal_Size_nm,Indication,PEGylated,Phase_III_Advancement,Platform,Source,Year
NCT00003094,Doxil,100,1,3,1,0,"Barenholz 2012","https://doi.org/10.1016/j.jconrel.2012.03.020"
NCT01274746,Abraxane,130,0,3,1,0,"Sparano 2008","https://doi.org/10.1200/JCO.2007.14.2488"
NCT02005105,Onivyde,100,1,3,1,0,"O'Brien 2021","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pegyiated-liposomal-irino"
NCT01458117,Marqibo,100,1,3,1,0,"FDA Label","https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202742s000lbl.pdf"
NCT00570592,DaunoXome,45,0,3,1,0,"Gill 1996","https://pubmed.ncbi.nlm.nih.gov/8793329/"
NCT04789486,AGuIX,5,0,2,0,0,"Lux 2019","https://doi.org/10.1039/C8NR07900G"
NCT02379845,NBTXR3,50,0,2,0,0,"ClinicalTrials.gov","https://clinicaltrials.gov/study/NCT02379845"
NCT02769962,EP0057,30,0,2,0,0,"Eisai Protocol","https://clinicaltrials.gov/study/NCT02769962"
NCT02106598,Silica NPs,50,0,2,0,1,"MSKCC","https://clinicaltrials.gov/study/NCT02106598"
NCT01702129,Anti-EGFR,95,0,2,0,0,"Phase II","https://clinicaltrials.gov/study/NCT01702129"
NCT01935492,Dox-IL,110,1,2,0,0,"Pub extraction","https://clinicaltrials.gov/study/NCT01935492"
NCT02652871,PEG-lip,90,1,2,0,0,"Terminated","https://clinicaltrials.gov/study/NCT02652871"
NCT03774680,Cetuximab NP,80,0,2,0,0,"No Phase III","https://clinicaltrials.gov/study/NCT03774680"

